,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_smote_on_disbalanced,f1_test_smote_on_population
2232,Nearest Neighbors,house_16H,3000,1.0,0.6339754816112084,0.6695064629847238,0.8145405587344329,0.665785997357992
2233,Decision Tree,house_16H,3000,1.0,0.7855855855855856,0.8176745588900618,0.861580013504389,0.8186088801333535
2234,Random Forest,house_16H,3000,1.0,0.8202443280977313,0.8284693269803455,0.8514784946236559,0.828853046594982
2235,Neural Net,house_16H,3000,1.0,0.6947368421052632,0.7271111111111112,0.7409254641174841,0.745783577495999
2236,AdaBoost,house_16H,3000,1.0,0.8222996515679443,0.8480900207284572,0.8675342008675342,0.8577797592510031
2237,Naive Bayes,house_16H,3000,1.0,0.17956656346749225,0.15579514824797844,0.18709295441089402,0.16550615961435458
2238,QDA,house_16H,3000,1.0,0.6458797327394209,0.6146664073137522,0.6202696824706394,0.6083398285268901
2239,XGB,house_16H,3000,1.0,0.8620689655172413,0.8670503172495204,1.0,0.8714475040494772
2240,Nearest Neighbors,MagicTelescope,100,0.2,0.0,0.20939017808958446,0.782608695652174,0.5890633459664321
2241,Decision Tree,MagicTelescope,100,0.2,0.0,0.5740778068937714,1.0,0.7061571833806107
2242,Random Forest,MagicTelescope,100,0.2,0.0,0.3339165208697826,0.9523809523809523,0.6334506390072235
2243,Neural Net,MagicTelescope,100,0.2,0.0,0.3053732069049356,1.0,0.5006165228113441
2244,AdaBoost,MagicTelescope,100,0.2,0.0,0.5688259109311741,1.0,0.6676166726042038
2245,Naive Bayes,MagicTelescope,100,0.2,0.0,0.5529568359003613,0.5,0.5687578644616215
2246,QDA,MagicTelescope,100,0.2,0.0,0.0,0.0,0.0
2247,XGB,MagicTelescope,100,0.2,1.0,0.5882596114096734,1.0,0.661345496009122
2248,Nearest Neighbors,MagicTelescope,100,0.4,0.0,0.5300485255692422,0.8,0.5983632357570035
2249,Decision Tree,MagicTelescope,100,0.4,0.25,0.7044635865309319,0.9302325581395349,0.6016732115417449
2250,Random Forest,MagicTelescope,100,0.4,0.8,0.6521887824897401,0.926829268292683,0.6839881045547034
2251,Neural Net,MagicTelescope,100,0.4,0.0,0.2596908442330559,1.0,0.5873261205564142
2252,AdaBoost,MagicTelescope,100,0.4,0.4,0.6737687740132728,1.0,0.7500763825236786
2253,Naive Bayes,MagicTelescope,100,0.4,0.6666666666666666,0.5335717123559793,0.5,0.5659741718135879
2254,QDA,MagicTelescope,100,0.4,0.5714285714285714,0.672122584015323,0.8888888888888888,0.6247896803140774
2255,XGB,MagicTelescope,100,0.4,0.5,0.7300316825079206,1.0,0.7253852392538523
2256,Nearest Neighbors,MagicTelescope,100,0.6,0.0,0.6331609566903684,0.8709677419354839,0.6510118955661981
2257,Decision Tree,MagicTelescope,100,0.6,0.4444444444444444,0.6256637168141593,0.9333333333333333,0.7016600790513834
2258,Random Forest,MagicTelescope,100,0.6,0.2857142857142857,0.6407449763110603,0.9836065573770492,0.6848203939745076
2259,Neural Net,MagicTelescope,100,0.6,0.3333333333333333,0.6476377952755905,1.0,0.6505122784192552
2260,AdaBoost,MagicTelescope,100,0.6,0.5,0.6892901618929016,0.9180327868852459,0.7350452290633207
2261,Naive Bayes,MagicTelescope,100,0.6,0.3333333333333333,0.6002599935001625,0.5416666666666666,0.6164781906300485
2262,QDA,MagicTelescope,100,0.6,0.8,0.7051282051282052,0.8,0.6987333654000321
2263,XGB,MagicTelescope,100,0.6,0.25,0.7116182572614108,1.0,0.7581719597211464
2264,Nearest Neighbors,MagicTelescope,100,0.8,0.7692307692307693,0.6210741497862851,0.875,0.6615538512837612
2265,Decision Tree,MagicTelescope,100,0.8,0.8571428571428571,0.7392261717521234,0.9873417721518988,0.7175925925925926
2266,Random Forest,MagicTelescope,100,0.8,0.5714285714285714,0.6483405967147168,0.975,0.717533478667082
2267,Neural Net,MagicTelescope,100,0.8,0.8235294117647058,0.6629120424051681,1.0,0.6494897105571357
2268,AdaBoost,MagicTelescope,100,0.8,0.8,0.753198127925117,1.0,0.7669036454394191
2269,Naive Bayes,MagicTelescope,100,0.8,0.4,0.6116838487972509,0.75,0.6489665003563792
2270,QDA,MagicTelescope,100,0.8,0.5454545454545454,0.7127024722932651,0.8888888888888888,0.7222950819672131
2271,XGB,MagicTelescope,100,0.8,0.9333333333333333,0.7463910761154856,1.0,0.7545336787564767
2272,Nearest Neighbors,MagicTelescope,100,1.0,0.5714285714285714,0.673503242346554,0.8936170212765957,0.6744767260231178
2273,Decision Tree,MagicTelescope,100,1.0,0.7142857142857143,0.7247940074906367,0.9361702127659575,0.7246198740592843
2274,Random Forest,MagicTelescope,100,1.0,0.625,0.7093650574076635,0.9591836734693877,0.7326007326007326
2275,Neural Net,MagicTelescope,100,1.0,0.26666666666666666,0.6657809270741069,0.9900990099009901,0.6655523476675277
2276,AdaBoost,MagicTelescope,100,1.0,0.5714285714285714,0.7418246976258026,0.9696969696969697,0.7581069237510956
2277,Naive Bayes,MagicTelescope,100,1.0,0.7142857142857143,0.7289951855878242,0.7674418604651163,0.6966623036649214
2278,QDA,MagicTelescope,100,1.0,0.75,0.7760297482837528,0.8764044943820225,0.771705137751303
2279,XGB,MagicTelescope,100,1.0,0.5882352941176471,0.7155416480405304,1.0,0.7536447485867301
2280,Nearest Neighbors,MagicTelescope,200,0.2,0.4,0.39112149532710283,0.7169811320754716,0.612992398064962
2281,Decision Tree,MagicTelescope,200,0.2,0.36363636363636365,0.7014041617323634,0.8292682926829268,0.6829616413916146
2282,Random Forest,MagicTelescope,200,0.2,0.0,0.24087591240875914,0.8695652173913043,0.5376628280158581
2283,Neural Net,MagicTelescope,200,0.2,0.0,0.0641399416909621,0.975609756097561,0.5586395621579359
2284,AdaBoost,MagicTelescope,200,0.2,0.8571428571428571,0.6024573919936583,0.975609756097561,0.7488479262672811
2285,Naive Bayes,MagicTelescope,200,0.2,0.8,0.6121758737316798,0.4745762711864407,0.5879637262984336
2286,QDA,MagicTelescope,200,0.2,0.8571428571428571,0.6108903020667726,0.8717948717948718,0.5973062658598477
2287,XGB,MagicTelescope,200,0.2,0.6666666666666666,0.6016357470576501,1.0,0.7229950197492702
2288,Nearest Neighbors,MagicTelescope,200,0.4,0.14285714285714285,0.5767166389043125,0.8,0.6627888696745795
2289,Decision Tree,MagicTelescope,200,0.4,0.47058823529411764,0.6847656925471208,0.8705882352941177,0.7389632364251654
2290,Random Forest,MagicTelescope,200,0.4,0.5333333333333333,0.5571286141575275,0.9512195121951219,0.7206730020252375
2291,Neural Net,MagicTelescope,200,0.4,0.2,0.21210526315789474,1.0,0.6664440734557596
2292,AdaBoost,MagicTelescope,200,0.4,0.5882352941176471,0.7215471504364196,0.9135802469135802,0.7582005623242737
2293,Naive Bayes,MagicTelescope,200,0.4,0.3076923076923077,0.6606092998396579,0.5974025974025974,0.6957247828991316
2294,QDA,MagicTelescope,200,0.4,0.25,0.7193311721549224,0.7532467532467533,0.7279151943462897
2295,XGB,MagicTelescope,200,0.4,0.6,0.7300316825079206,1.0,0.7500401348531064
2296,Nearest Neighbors,MagicTelescope,200,0.6,0.5882352941176471,0.5852090032154341,0.8739495798319328,0.6379076086956522
2297,Decision Tree,MagicTelescope,200,0.6,0.6,0.6878504672897197,0.9666666666666667,0.6778380154427468
2298,Random Forest,MagicTelescope,200,0.6,0.5263157894736842,0.5992292870905588,0.9193548387096774,0.761037778789258
2299,Neural Net,MagicTelescope,200,0.6,0.7619047619047619,0.5887272727272728,0.9830508474576272,0.5905497334068762
2300,AdaBoost,MagicTelescope,200,0.6,0.7,0.7468893812851543,0.896,0.7573170731707317
2301,Naive Bayes,MagicTelescope,200,0.6,0.2222222222222222,0.6110071134406589,0.6274509803921569,0.6829353320550811
2302,QDA,MagicTelescope,200,0.6,0.7368421052631579,0.709643235605793,0.7636363636363637,0.7426632739609839
2303,XGB,MagicTelescope,200,0.6,0.7,0.7265853239388211,1.0,0.7313702911663102
2304,Nearest Neighbors,MagicTelescope,200,0.8,0.6875,0.6427697149851372,0.8051948051948052,0.7006123106670964
2305,Decision Tree,MagicTelescope,200,0.8,0.7777777777777778,0.7308314461339372,0.9259259259259259,0.7454965357967668
2306,Random Forest,MagicTelescope,200,0.8,0.6428571428571429,0.5966976655911937,0.8843537414965986,0.6603317208016586
2307,Neural Net,MagicTelescope,200,0.8,0.6857142857142857,0.7025715672003882,0.9681528662420382,0.7204181846982417
